timestamp,symbol,bid_size,bid_price,ask_price,ask_size
1634304600000050499,GME,101,100.0,250.0,258
1634304600000050499,AFRM,100,128.11,168.83,100
1634304600012881404,GME,104,165.0,250.0,258
1634304600012943263,GME,104,165.0,250.0,291
1634304600033686511,GME,101,100.0,250.0,291
1634304600047015214,CLOV,200,8.11,8.14,200
1634304600047064245,CLOV,200,8.11,8.14,900
1634304600230542566,GME,104,165.0,250.0,291
1634304600119377467,AMC,100,40.15,43.88,100
